cate_slug	cate_name	cate_url	keywords
xuyen-khong	Xuyên Không	https://webnovel.vn/xuyen-khong/	truyện xuyên không|truyện xuyên không hoàn|xuyên không hoàn
tong-tai	Tổng Tài	https://webnovel.vn/tong-tai/	truyện tổng tài
dien-van	Điền Văn	https://webnovel.vn/dien-van/	truyện điền văn hoàn|truyện điền văn
ngon-tinh	Ngôn Tình	https://webnovel.vn/ngon-tinh/	truyện ngôn tình hoàn|truyện ngôn tình
tien-hiep	Tiên Hiệp	https://webnovel.vn/tien-hiep/	truyện tiên hiệp
thap-nien-60-70-80	Thập Niên 60 70 80	https://webnovel.vn/thap-nien-60-70-80/	truyện thập niên 70|truyện thập niên 60 70 80
co-dai	Cổ Đại	https://webnovel.vn/co-dai/	truyện cổ đại
do-thi	Đô Thị	https://webnovel.vn/do-thi/	truyện đô thị
kiem-hiep	Kiếm Hiệp	https://webnovel.vn/kiem-hiep/	truyện kiếm hiệp
quan-truong	Quan Trường	https://webnovel.vn/quan-truong/	truyện quan trường
he-thong	Hệ Thống	https://webnovel.vn/he-thong/	truyện hệ thống
quan-su	Quân Sự	https://webnovel.vn/quan-su/	truyện quân sự
di-nang	Dị Năng	https://webnovel.vn/di-nang/	truyện dị năng
kinh-doanh	Kinh doanh	https://webnovel.vn/kinh-doanh/	sách kinh doanh
tam-linh	Tâm linh	https://webnovel.vn/tam-linh/	sách tâm linh
hien-dai	Hiện Đại	https://webnovel.vn/hien-dai/	truyện hiện tại
trong-sinh	Trọng Sinh	https://webnovel.vn/trong-sinh/	truyện trọng sinh
huyen-huyen	Huyền Huyễn	https://webnovel.vn/huyen-huyen/	truyện huyền huyễn
lich-su	Lịch Sử	https://webnovel.vn/lich-su/	truyện lịch sử
vong-du	Võng Du	https://webnovel.vn/vong-du/	truyện võng du
phat-trien-ban-than	Phát triển bản thân	https://webnovel.vn/phat-trien-ban-than/	sách phát triển bản thân
khoa-huyen	Khoa Huyễn	https://webnovel.vn/khoa-huyen/	truyện khoa huyễn
di-gioi	Dị Giới	https://webnovel.vn/di-gioi/	truyện dị giới
